IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
9481662	"The Last of Us" Long, Long Time	2023	Romanian	ro	2023-03-28 00:11:05	14500888	srt	1	 The.Last.of.Us.S01E03.Long.Long.Time.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb	23.976	1	3	3581920	tv	http://www.opensubtitles.org/subtitles/9481662/the-last-of-us-long-long-time-ro
9481663	M3GAN	2022	Portuguese (BR)	pb	2023-03-28 00:14:41	8760708	srt	1	M3GAN.2022.UNRATED.BluRay-RARBG-FGT-ION10-MiMESiS	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/9481663/m3gan-pb
9481664	Yargi	2021	Greek	el	2023-03-28 00:16:13	12979628	srt	1	 Yargi.27	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9481664/yargi-el
9481665	"La Brea" The Cave	2022	Hungarian	hu	2023-03-28 00:16:23	21186406	srt	1	 La Brea - 02x02 - The Cave.amzn-ntb	23.976	2	2	11640018	tv	http://www.opensubtitles.org/subtitles/9481665/la-brea-the-cave-hu
9481666	Gorgo	1961	Portuguese (BR)	pb	2023-03-28 00:16:52	54938	srt	1	Gorgo (1961) [REPACK] [1080p] [BluRay] [YTS.MX]	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/9481666/gorgo-pb
9481694	"Django" New Babylon	2022	Portuguese (BR)	pb	2023-03-28 00:20:23	14085932	srt	1	 Django.S01E01.720p.AHDTV.x265-MiNX	23.976	1	1	14084828	tv	http://www.opensubtitles.org/subtitles/9481694/django-new-babylon-pb
9481695	"Django" New Babylon	2022	Portuguese (BR)	pb	2023-03-28 00:20:23	14085932	srt	1	 Django.S01E01.New.Babylon.ITA.ENG.WEB-DL	23.976	1	1	14084828	tv	http://www.opensubtitles.org/subtitles/9481695/django-new-babylon-pb
9481696	"Django" New Babylon	2022	Portuguese (BR)	pb	2023-03-28 00:20:23	14085932	srt	1	 Django.S01E01.WEBRip.x264-XEN0N	23.976	1	1	14084828	tv	http://www.opensubtitles.org/subtitles/9481696/django-new-babylon-pb
9481668	"Yargi" Episode #1.29	2022	Greek	el	2023-03-28 00:22:28	19496900	srt	1	 Yargi.29	0.000	1	29	12979628	tv	http://www.opensubtitles.org/subtitles/9481668/yargi-episode-1-29-el
9481669	Mais ou est donc passee la 7eme compagnie	1973	French	fr	2023-03-28 00:31:36	70356	srt	1	Mais.ou.est.donc.passee.la.7eme.compagnie.1973.1080p.x264.FRENCH.AC3-BlacBeard-Fixed	24.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/9481669/mais-ou-est-donc-passee-la-7eme-compagnie-fr
9481671	"Mad About You" The Silent Show	1998	English	en	2023-03-28 00:34:59	638973	srt	1	Mad About You S07E05 The Silent Show	0.000	7	5	103484	tv	http://www.opensubtitles.org/subtitles/9481671/mad-about-you-the-silent-show-en
9481672	"El Chapo" Episode #1.8	2017	Bosnian	bs	2023-03-28 00:37:41	7028388	srt	1	 El.Chapo.S01E08.1080p.NF.WEBRip.x265.HEVC.6CH-MRN-bos(1)	25.000	1	8	6692188	tv	http://www.opensubtitles.org/subtitles/9481672/el-chapo-episode-1-8-bs
9481673	The Blacklist	2013	Arabic	ar	2023-03-28 00:42:18	2741602	srt	1	blacklist S100E1000	0.000	0	0	0	tv	http://www.opensubtitles.org/subtitles/9481673/the-blacklist-ar
9481674	"iZombie" Pilot	2015	Italian	it	2023-03-28 00:42:25	3733950	srt	1	 iZombie.S01E01.Il.sonno.eterno.WEBRip.Netflix	0.000	1	1	3501584	tv	http://www.opensubtitles.org/subtitles/9481674/izombie-pilot-it
9481675	"iZombie" Brother, Can You Spare a Brain?	2015	Italian	it	2023-03-28 00:42:29	3822192	srt	1	 iZombie.S01E02.Fratello,.puoi.prestarmi.un.cervello_.WEBRip.Netflix	0.000	1	2	3501584	tv	http://www.opensubtitles.org/subtitles/9481675/izombie-brother-can-you-spare-a-brain-it
